NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
1,0,1,0,0,1,0,1,0,1,0,1,1,8,8,0,5.12
1,0,1,1,1,1,0,0,0,1,0,1,0,8,8,0,2.85
1,1,1,0,0,1,1,0,0,1,0,1,0,22,320,0,6.68
1,1,1,0,0,1,0,0,0,1,1,1,0,8,8,0,2.28
1,1,1,0,0,0,0,0,0,1,1,1,0,8,8,0,2.32
1,1,1,0,1,1,0,0,0,1,0,1,0,8,8,0,2.33
1,1,1,0,0,1,1,0,0,1,0,1,0,22,8,0,5.27
1,1,1,0,0,1,0,0,0,1,1,1,0,8,320,0,3.54
1,0,0,1,0,1,0,1,0,1,0,1,0,8,8,0,2.85
1,1,1,0,0,1,1,0,0,1,0,1,0,8,8,0,2.29
1,1,1,0,0,1,1,0,0,1,0,1,0,8,160,0,2.96
1,0,1,0,0,1,1,0,0,1,0,1,1,8,320,0,4.79
1,0,1,0,0,1,0,0,0,1,1,1,1,44,320,0,17.12
0,1,0,0,0,0,1,0,0,0,0,0,0,48,8,0,16.45
0,0,0,0,0,0,0,0,0,0,1,0,1,44,8,0,26.54
0,0,0,1,1,0,0,0,0,0,0,0,0,44,8,0,18.9
0,1,0,0,0,0,0,0,1,0,0,0,0,22,8,0,10.46
0,0,0,0,1,0,0,0,0,0,0,0,1,8,8,0,5.82
0,0,0,0,0,0,0,0,1,0,0,0,1,8,8,0,5.76
0,0,0,0,1,0,0,0,0,0,0,1,1,44,8,0,22.94
0,0,0,0,1,0,0,0,0,0,0,0,1,8,8,0,5.77
0,1,0,0,0,0,0,0,0,0,1,0,0,22,8,0,5.91
0,0,0,0,0,0,1,0,0,0,0,0,1,22,8,0,14.2
0,0,0,0,0,0,0,0,0,0,1,0,1,44,8,0,16.24
0,1,0,0,0,0,0,0,0,0,1,0,0,48,8,0,16.15
0,0,0,1,0,0,0,0,1,0,0,0,0,44,8,0,16.07
0,0,0,0,1,0,0,0,0,0,0,0,1,48,8,0,13.29
0,1,0,0,0,0,1,0,0,0,0,0,0,8,8,0,4.31
0,0,0,0,1,0,0,0,0,0,0,0,1,44,8,0,23.61
0,0,0,0,0,0,0,0,0,0,1,0,1,44,8,0,15.22
0,0,0,0,0,0,0,0,0,0,1,0,1,22,8,0,8.9
0,0,0,0,0,0,0,0,1,0,0,0,1,48,8,0,13.35
0,0,0,1,1,0,0,0,0,1,0,0,0,48,8,0,19.89
0,1,0,0,1,0,0,0,0,0,0,0,0,22,8,0,9.81
0,1,0,0,0,0,0,0,1,0,0,0,0,22,8,0,10.54
0,1,0,0,0,0,0,1,0,0,0,0,0,44,8,0,17.91
0,0,0,1,1,0,0,0,0,0,0,0,0,8,8,0,4.69
0,0,0,1,0,0,1,0,0,0,0,0,0,22,8,0,11.7
0,0,0,1,1,0,0,0,0,0,0,0,0,22,8,0,7.22
0,1,0,0,0,0,0,0,0,0,1,0,0,22,8,0,10.34
0,0,0,1,0,0,0,1,0,0,0,0,0,8,8,0,4.71
0,0,0,1,0,0,1,0,0,0,0,0,0,8,8,0,2.91
0,1,0,0,1,0,0,0,0,0,0,0,0,44,8,0,19.19
0,0,0,1,1,0,0,0,0,0,0,0,0,22,8,0,11.51
0,0,1,1,0,0,0,0,0,0,1,0,0,22,8,0,12.29
0,1,0,0,0,0,0,0,0,0,1,0,0,44,8,0,19.42
1,1,0,0,0,0,0,0,0,0,1,0,0,48,8,0,16.26
0,0,0,0,1,0,0,0,0,0,0,0,1,48,8,0,20.31
0,0,0,1,0,0,1,0,0,0,0,0,0,44,8,0,20.1
0,0,0,0,1,0,0,0,0,0,0,0,1,8,8,0,5.76
0,1,0,0,0,0,0,1,0,0,0,0,0,22,8,0,9.2
0,0,0,0,0,0,0,0,0,0,1,0,1,44,8,0,22.23
0,1,0,0,0,0,0,0,0,0,1,0,0,8,8,0,4.04
0,0,0,1,0,0,0,0,0,0,1,1,0,48,8,0,17.06
0,1,0,0,0,0,0,0,0,0,1,0,0,22,8,0,8.44
0,0,0,1,1,0,0,0,0,0,0,0,0,8,8,0,2.96
0,0,0,0,1,0,0,0,0,0,0,0,1,8,8,0,5.43
0,0,0,1,0,0,1,0,0,0,0,0,0,22,8,0,7.25
0,0,0,1,0,0,0,0,0,0,1,0,0,22,8,0,9.68
0,0,0,0,0,0,0,0,0,0,1,0,1,8,8,0,5.46
0,0,0,0,0,0,0,0,0,0,1,0,1,22,8,0,8.77
0,0,0,1,0,0,1,0,0,0,0,0,0,8,8,0,4.71
0,0,0,1,0,0,0,0,0,0,1,0,0,22,8,0,10.79
0,0,0,0,1,0,0,0,0,0,0,0,1,48,8,0,13.09
0,0,0,1,0,0,0,0,0,0,1,0,0,8,8,0,2.95
0,0,0,1,0,0,0,0,1,0,0,0,0,8,8,0,2.97
0,0,0,1,0,0,0,0,1,1,0,0,0,48,8,0,17.22
0,1,0,0,1,0,0,0,0,0,0,0,0,22,8,0,7.96
0,1,0,0,0,0,0,0,1,0,0,0,0,8,8,0,3.99
0,0,0,0,0,0,0,1,0,0,0,0,1,22,8,0,11.39
0,0,0,0,0,0,0,0,1,0,0,0,1,22,8,0,11.74
0,0,0,0,0,0,1,0,0,0,0,0,1,44,8,0,23.65
0,1,0,0,1,0,0,0,0,0,0,0,0,22,8,0,5.65
0,1,0,0,0,0,0,0,0,0,1,0,0,22,8,0,9.25
0,0,0,0,0,0,0,0,1,0,0,0,1,8,8,0,5.59
0,0,0,1,0,0,0,0,0,0,1,0,0,48,8,0,10.56
0,1,0,0,1,0,0,0,0,0,0,0,0,8,8,0,3.98
0,0,0,1,0,0,0,0,0,0,1,0,0,44,8,0,19.43
0,1,1,0,0,0,1,0,0,0,0,0,0,44,8,0,16.15
0,1,0,0,0,0,1,0,0,0,0,0,0,48,8,0,13.66
1,0,0,0,0,0,1,0,0,0,0,0,1,22,8,0,11.44
0,0,0,0,0,0,0,1,0,0,0,0,1,48,8,0,20.42
0,0,0,0,0,0,0,0,0,0,1,0,1,48,8,1,18.18
0,0,0,0,0,0,0,0,0,0,1,0,1,48,8,1,20.39
0,0,0,0,1,0,0,0,0,0,0,0,1,48,8,0,23.68
0,0,0,0,0,0,0,1,0,0,0,0,1,48,8,1,21.65
0,1,0,0,0,0,1,0,0,0,0,1,0,48,160,0,12.39
0,0,0,1,1,0,0,0,0,0,0,0,0,48,160,0,13.67
0,1,0,0,1,0,0,0,0,0,0,0,0,48,8,0,6.98
0,1,0,0,0,0,0,0,0,0,1,0,0,48,320,0,16.41
0,0,0,0,0,0,0,0,0,0,1,0,1,48,320,0,24.24
0,0,0,0,0,0,1,0,0,0,0,0,1,48,8,0,23.97
0,0,0,1,1,0,0,0,0,0,0,0,0,48,160,0,11.23
0,0,0,1,0,0,0,0,0,0,1,0,0,48,8,0,15.33
0,1,0,0,0,0,0,0,0,0,1,0,0,48,8,0,13.77
0,0,0,0,0,0,0,0,1,0,0,0,1,48,8,0,13.95
0,0,0,1,0,0,0,0,0,0,1,0,0,48,320,0,19.91
0,1,0,0,0,0,0,0,0,0,1,0,0,48,8,2,11.7
0,0,0,0,0,0,0,1,0,0,0,0,1,48,8,0,20.93
0,1,0,0,0,0,0,0,0,0,1,0,0,48,8,0,7.96
0,0,0,1,1,0,0,0,0,0,0,0,0,48,320,0,12.41
0,0,0,0,0,0,0,0,0,0,1,0,1,48,320,0,14.61
0,1,0,0,1,0,0,0,0,1,0,0,0,48,8,0,16.06
0,1,0,0,1,0,0,0,0,0,0,0,0,48,160,0,17.38
0,0,0,0,0,0,0,0,1,0,0,0,1,48,320,0,24.23
0,0,0,0,0,0,0,1,0,0,0,0,1,48,320,0,24.12
0,0,0,1,1,0,0,0,0,0,0,0,0,48,8,2,17.28
0,1,0,0,0,0,0,0,0,0,1,0,0,48,8,2,13.6
0,0,0,1,0,0,1,0,0,0,0,0,0,48,8,0,19.82
0,0,0,1,1,0,0,0,0,0,0,0,0,48,8,0,11.07
0,0,0,0,0,0,1,0,0,0,0,0,1,48,8,0,20.63
0,0,0,0,0,0,1,0,0,0,0,0,1,48,320,0,14.62
0,1,0,0,0,1,0,0,0,0,1,0,0,48,320,0,16.25
0,1,0,0,0,0,1,0,0,0,0,0,0,48,8,0,14.13
0,0,0,1,1,0,0,0,0,0,0,0,0,48,320,0,20.07
0,0,0,1,1,0,0,0,0,0,0,0,0,48,8,0,19.69
0,1,1,0,0,0,1,0,0,0,0,0,0,48,320,0,17.77
0,1,0,0,0,0,1,0,0,0,0,0,0,48,8,0,16.16
0,1,0,0,1,0,0,0,0,0,0,0,0,48,8,2,13.58
0,0,0,0,0,0,0,0,0,0,1,0,1,48,8,0,18.33
0,1,0,0,0,0,0,0,0,0,1,0,0,48,8,0,16.3
1,0,0,0,0,0,1,0,0,0,0,0,1,48,8,0,18.32
0,0,0,0,0,0,0,0,0,0,1,0,1,44,320,0,21.11
0,0,0,1,0,0,0,0,0,0,1,0,0,44,8,0,23.23
0,0,0,0,1,0,0,0,0,0,0,0,1,44,8,1,22.3
0,0,0,0,1,0,0,0,0,0,0,0,1,44,8,0,23.01
0,1,0,0,0,0,0,0,0,0,1,0,0,44,8,0,18.54
0,0,0,0,1,0,0,0,0,0,0,1,1,44,8,0,21.38
0,1,0,0,1,0,0,0,0,0,0,0,0,44,320,0,13.95
0,1,0,0,0,0,0,0,0,0,1,0,0,44,8,0,9.66
0,0,0,0,0,0,1,0,0,0,0,0,1,44,320,0,26.1
0,0,0,1,1,0,0,0,0,0,0,0,0,44,160,0,21.78
0,1,0,0,0,0,1,0,0,0,0,0,0,44,8,0,17.82
0,1,0,0,0,0,0,0,0,0,1,0,0,44,320,0,11.65
0,1,0,0,0,0,0,0,0,0,1,0,0,44,8,0,18.65
0,1,0,0,1,0,0,0,0,0,0,0,0,44,8,0,12.05
0,0,0,1,1,0,0,0,0,0,0,0,0,44,160,0,14.35
0,0,0,1,0,0,0,0,0,0,1,0,0,44,8,0,17.57
0,0,0,1,0,0,0,0,0,0,1,0,0,44,320,0,16.38
0,0,0,1,0,0,0,0,1,0,0,0,0,44,8,1,17.22
0,0,0,0,1,0,0,0,0,0,0,0,1,44,8,0,15.26
0,0,0,1,0,0,0,0,0,0,1,0,0,44,8,0,12.8
0,0,0,1,1,0,0,0,0,0,0,0,0,44,8,0,12.68
0,0,0,0,0,0,1,0,0,1,0,0,1,44,160,0,25.14
0,0,0,1,0,0,0,0,1,0,0,0,0,44,160,0,21.54
0,1,0,0,0,0,0,0,1,0,0,0,0,44,8,0,17.98
0,0,0,0,0,0,0,1,0,0,0,0,1,44,8,1,22.98
0,1,0,0,0,0,0,0,0,0,1,0,0,44,8,0,15.65
0,0,0,0,0,0,1,0,0,0,0,0,1,44,8,0,24.78
0,0,0,1,0,0,1,0,0,0,0,0,0,44,8,0,19.04
0,0,0,1,1,0,0,0,0,0,0,0,0,44,8,0,12.89
0,1,0,0,0,0,0,0,0,0,1,0,0,44,8,0,16.99
0,0,0,0,0,0,0,0,1,0,0,0,1,44,320,0,16.84
0,0,0,0,0,1,0,0,0,0,1,0,1,44,320,0,26.22
0,1,0,0,0,0,1,0,0,0,0,0,0,44,8,0,16.79
0,0,0,0,1,0,0,0,0,0,0,0,1,44,160,0,25.66
0,0,0,1,0,0,0,1,0,0,0,0,0,44,8,0,21.68
0,0,1,0,0,0,0,0,0,0,1,0,1,44,8,0,22.1
0,0,0,0,1,0,0,0,0,0,0,0,1,44,8,0,25.78
0,1,0,0,0,0,0,0,1,0,0,0,0,44,8,2,16.23
0,0,0,0,0,0,1,0,0,0,0,0,1,44,8,0,20.3
0,1,0,0,0,0,0,0,0,0,1,0,0,44,8,1,15.6
1,0,0,0,0,0,0,1,0,0,0,0,1,44,160,0,25.6
0,0,0,0,1,0,0,0,0,0,0,0,1,8,8,2,5.83
0,1,0,0,0,0,0,0,0,0,1,0,0,44,8,1,13.86
0,0,0,0,0,0,0,1,0,0,0,0,1,8,8,0,5.44
0,0,0,0,1,0,0,0,0,0,0,1,1,44,8,0,21.64
0,1,0,0,0,0,0,0,0,0,1,0,0,8,8,0,2.43
0,0,0,0,1,0,0,0,0,0,0,0,1,44,320,0,20.21
0,1,0,0,1,0,0,0,0,0,0,0,0,22,8,0,9.2
0,0,0,0,1,0,0,0,0,0,0,0,1,48,8,0,17.9
0,0,0,1,1,0,0,0,0,0,0,0,0,8,8,0,2.66
0,0,0,1,0,0,0,0,0,0,1,0,0,22,8,0,11.06
0,0,0,0,1,0,0,0,0,0,0,0,1,22,8,0,14.29
0,0,0,1,1,0,0,0,0,0,0,0,0,8,8,0,2.96
0,1,0,0,0,0,0,0,0,0,1,0,0,22,160,0,10.6
0,1,0,0,0,0,0,0,0,0,1,0,0,22,320,0,10.48
0,0,0,0,0,0,1,0,0,0,0,0,1,44,8,0,22.38
0,1,0,0,0,0,0,0,0,0,1,0,0,22,8,0,5.5
0,1,0,0,0,0,0,1,0,0,0,0,0,8,8,2,2.06
0,1,0,0,0,0,0,0,1,0,0,0,0,8,8,2,2.08
0,0,0,0,0,0,0,0,1,1,0,0,1,22,160,0,15.88
0,0,0,0,1,0,0,0,0,0,0,0,1,22,160,0,14.82
0,0,0,0,0,0,0,1,0,0,0,0,1,22,160,0,14.95
0,0,0,0,0,0,0,0,1,0,0,0,1,48,8,2,18.74
0,0,0,0,0,0,0,1,0,0,0,0,1,44,320,0,20.16
0,0,0,0,0,0,0,0,0,0,1,0,1,22,8,2,14.7
0,1,0,0,0,0,0,0,0,0,1,0,0,48,8,1,11.2
0,1,0,0,0,0,1,0,0,0,0,0,0,8,320,0,4.21
0,1,0,0,0,0,0,1,0,0,0,0,0,22,320,0,6.31
0,0,0,1,0,0,0,0,1,0,0,0,0,48,8,0,17.75
0,0,0,1,0,0,0,0,0,0,1,0,0,8,160,0,5.02
0,1,0,0,0,0,0,0,0,0,1,0,0,44,8,0,9.48
0,1,0,0,0,1,0,0,0,0,1,0,0,8,320,0,5.39
0,0,0,0,0,0,0,1,0,0,0,0,1,8,8,0,5.3
0,0,0,0,1,0,0,0,0,0,0,0,1,48,8,0,19.35
0,0,0,1,1,0,0,0,0,0,0,0,0,22,160,0,12.18
0,1,1,0,1,0,0,0,0,0,0,0,0,48,8,2,11.64
0,0,0,0,0,0,0,0,0,0,1,0,1,48,8,0,17.86
0,0,0,1,0,0,0,0,1,0,0,0,0,22,8,2,12.22
0,1,0,0,0,0,1,0,0,0,0,0,0,8,8,0,4.11
0,1,0,0,1,0,0,0,0,0,0,0,0,8,8,0,3.66
1,1,0,0,1,0,0,0,0,0,0,0,0,22,320,0,10.68
0,0,0,0,0,0,0,0,1,0,0,0,1,22,8,1,11.51
0,0,0,0,1,0,0,0,0,0,0,0,1,22,8,1,13.38
0,0,0,1,0,0,1,0,0,0,0,0,0,8,320,0,4.99
0,0,0,0,1,0,0,0,0,0,0,1,1,8,160,0,5.92
0,0,0,1,0,0,0,1,0,0,0,0,0,22,8,1,9.35
0,0,0,1,0,0,1,0,0,0,0,0,0,22,160,0,7.97
0,0,0,0,1,0,0,0,0,0,0,0,1,48,320,0,17.53
0,0,0,1,1,0,0,0,0,0,0,0,0,8,8,0,4.67
0,0,0,1,0,0,1,0,0,0,0,0,0,22,8,0,10.88
0,0,0,0,1,0,0,0,0,0,0,0,1,22,8,0,8.91
0,1,0,0,0,0,0,0,0,0,1,0,0,44,8,0,17.83
0,0,0,0,0,0,0,0,0,0,1,0,1,44,8,0,22.76
0,0,0,0,0,0,0,0,0,0,1,0,1,48,8,0,13.19
0,1,0,0,0,0,0,0,1,0,0,0,0,8,160,0,4.14
0,0,0,1,1,0,0,0,0,0,0,0,0,22,160,0,12.22
0,0,0,1,0,0,0,0,0,0,1,0,0,48,8,1,16.71
0,0,0,1,0,0,0,0,0,0,1,0,0,22,160,0,7.87
0,0,0,1,0,0,0,0,0,0,1,0,0,8,160,0,3.17
0,0,0,0,0,0,0,0,0,0,1,0,1,8,8,1,3.3
0,1,0,0,0,0,0,0,0,1,1,0,0,44,320,0,13.07
0,1,0,0,0,0,0,0,1,0,0,0,0,22,8,0,9.99
0,0,0,0,0,0,1,0,0,0,0,0,1,22,160,0,14.54
0,0,0,1,0,0,0,0,1,0,0,0,0,44,8,0,19.12
0,1,0,0,0,0,0,1,0,0,0,0,0,44,8,0,17.0
0,0,0,1,1,0,0,0,0,0,0,0,0,48,8,1,13.17
0,1,0,0,0,0,0,0,0,0,1,0,0,8,8,0,4.04
0,0,0,0,0,0,1,0,0,0,0,0,1,8,160,0,5.86
0,1,0,0,1,0,0,0,0,0,0,0,0,48,8,2,5.29
0,0,0,0,1,0,0,0,0,0,0,0,1,8,8,2,5.47
0,0,0,0,0,0,0,1,0,0,0,0,1,8,8,2,5.49
0,1,0,0,0,0,0,0,0,0,1,0,0,44,8,0,9.53
0,0,0,0,0,1,0,0,0,0,1,0,1,22,320,0,16.56
0,0,0,0,0,0,0,0,0,0,1,0,1,8,8,0,5.3
0,0,0,0,1,0,0,0,0,0,0,0,1,48,8,1,21.19
0,0,0,1,0,0,0,0,0,0,1,0,0,22,160,0,10.32
0,0,1,0,0,0,1,0,0,0,0,0,1,44,8,0,19.74
0,1,0,0,0,0,0,0,1,0,0,0,0,8,8,0,4.3
0,0,0,0,1,0,0,0,0,0,0,0,1,48,8,2,19.81
0,0,0,0,0,0,1,0,0,0,0,0,1,44,8,0,23.09
0,1,0,0,1,0,0,0,0,0,0,0,0,8,8,0,4.1
1,1,0,0,1,0,0,0,0,0,0,0,0,8,8,0,4.24
0,0,0,0,0,0,0,0,0,0,1,0,1,8,8,1,5.28
0,0,0,0,0,0,0,0,0,0,1,0,1,22,8,1,13.41
0,1,0,0,0,0,0,0,0,0,1,1,0,44,8,1,14.63
0,0,0,0,0,0,0,0,0,0,1,0,1,8,8,1,5.25
0,0,0,0,0,0,0,0,1,0,0,0,1,22,8,1,8.1
0,0,0,0,0,0,0,0,0,0,1,0,1,44,8,1,13.74
0,0,0,0,0,0,0,0,0,0,1,0,1,22,8,1,13.39
0,0,0,0,0,0,0,1,0,0,0,0,1,22,8,1,13.41
0,0,0,1,1,0,0,0,0,0,0,0,0,48,8,1,8.82
0,0,0,1,1,0,0,0,0,0,0,0,0,22,8,1,11.13
0,1,0,0,0,0,0,1,0,0,0,0,0,48,8,1,13.95
0,0,0,0,1,0,0,0,0,0,0,0,1,44,8,1,13.88
0,1,0,0,1,0,0,0,0,0,0,0,0,22,8,1,4.75
0,0,0,0,1,0,0,0,0,0,0,0,1,22,8,1,8.09
0,0,0,1,0,0,0,1,0,1,0,0,0,48,8,1,16.96
0,0,0,0,1,0,0,0,0,0,0,0,1,22,8,1,13.4
0,0,0,0,0,0,0,0,1,0,0,0,1,48,8,1,20.36
0,1,0,0,0,0,0,1,0,0,0,0,0,8,8,1,3.65
0,0,0,0,1,0,0,0,0,0,0,0,1,48,8,1,20.39
0,1,0,0,0,0,1,0,0,0,0,0,0,8,8,1,3.67
0,0,0,0,0,0,1,0,0,0,0,0,1,48,8,1,20.39
0,0,0,1,0,0,1,0,0,0,0,0,0,48,8,1,8.82
0,0,0,1,0,0,0,1,0,0,0,0,0,22,8,1,10.0
0,0,0,0,0,0,0,0,1,0,0,0,1,8,8,1,5.26
0,0,0,1,0,0,0,0,1,0,0,0,0,8,8,1,2.66
0,0,0,1,1,0,0,0,0,0,0,0,0,48,8,1,17.71
0,0,0,1,0,0,0,0,0,0,1,0,0,22,8,1,11.05
0,0,1,1,0,0,0,0,0,0,1,0,0,22,8,1,11.06
0,1,0,0,1,0,0,0,0,0,0,0,0,8,8,1,3.73
1,0,0,1,0,0,0,0,0,0,1,0,0,44,8,1,19.1
0,0,0,0,0,0,0,0,1,0,0,0,1,48,160,0,23.81
0,0,0,0,0,0,0,0,0,0,1,1,1,8,160,0,5.91
0,0,0,0,0,0,1,0,0,0,0,0,1,8,8,0,5.29
0,0,0,0,0,0,0,0,1,0,0,0,1,48,8,1,11.54
0,0,0,0,0,0,0,0,1,0,0,0,1,44,320,0,26.19
0,0,0,0,0,0,0,0,0,0,1,0,1,8,320,0,6.18
0,0,0,0,1,0,0,0,0,0,0,0,1,44,8,0,22.77
0,0,0,0,1,0,0,0,0,0,0,0,1,48,8,0,13.21
0,0,0,0,0,0,0,0,0,0,1,0,1,44,160,0,25.64
0,0,0,0,1,0,0,0,0,0,0,0,1,8,8,0,5.8
0,0,0,0,0,0,0,0,0,0,1,0,1,8,8,0,3.58
0,0,0,0,0,0,0,0,1,0,0,0,1,8,160,0,5.83
0,0,0,0,0,0,0,0,0,0,1,0,1,44,160,0,20.16
0,0,0,0,1,0,0,0,0,0,0,0,1,44,8,0,23.83
0,0,0,0,0,0,1,0,0,0,0,0,1,22,8,0,8.73
0,0,0,0,1,0,0,0,0,0,0,0,1,22,8,0,9.35
0,0,0,0,0,0,1,0,0,0,0,0,1,8,8,0,3.67
0,0,0,0,1,0,0,0,0,1,0,0,1,48,8,0,20.23
0,0,0,0,0,0,0,0,0,0,1,0,1,22,8,0,14.2
0,0,0,0,0,0,0,1,0,0,0,0,1,22,160,0,14.5
0,0,0,0,0,0,0,0,1,0,0,0,1,48,8,0,23.54
0,0,0,0,0,0,0,1,0,0,0,0,1,48,8,0,20.39
0,0,0,0,1,0,0,0,0,0,0,0,1,44,8,2,22.72
0,0,0,0,0,0,0,0,1,0,0,0,1,22,8,0,13.38
0,0,0,0,0,0,1,0,0,0,0,0,1,48,320,0,24.24
0,0,0,0,0,0,1,0,0,0,0,0,1,22,8,0,8.87
0,0,0,0,1,0,0,0,0,0,0,0,1,48,8,0,17.85
0,0,0,0,1,0,0,0,0,0,0,0,1,8,8,0,5.81
0,0,0,0,1,0,0,0,0,0,0,0,1,48,8,2,11.52
0,0,0,0,1,1,0,0,0,0,0,0,1,8,160,0,6.13
0,0,0,0,0,0,0,0,0,0,1,0,1,48,8,0,21.33
0,0,0,0,1,0,0,0,0,0,0,0,1,44,8,0,24.86
0,0,1,0,1,0,0,0,0,0,0,0,1,8,8,0,6.08
0,0,0,0,0,0,1,0,0,0,0,0,1,22,8,0,14.93
